StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q4,Q11,Q12,Q20,Q13,Q15,Q16,Q17,Q18,Q19
5/6/25 17:42,5/6/25 17:44,IP Address,138.9.133.99,100,81,TRUE,5/6/25 17:44,R_72EZCNrAOFZdiet,,,,,37.9786,-121.3147,anonymous,EN,"Yes, a few times","Yes, many times",Moderately engaged,Highly engaged,Not engaged at all,Highly engaged,Being able to directly talk to them made me more engaged ,The poster presentation,The poster presentation,Slightly nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:41,5/6/25 17:44,IP Address,138.9.189.88,100,170,TRUE,5/6/25 17:44,R_7fUz4Kfawxw5JbK,,,,,37.9786,-121.3147,anonymous,EN,"Yes, many times",No,Moderately engaged,Highly engaged,Moderately engaged,Highly engaged,,The poster presentation,The poster presentation,Very nervous,The same for both,I learned an equal amount from both,Poster presentations,I feel equally proud of both,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:44,IP Address,104.28.124.98,100,70,TRUE,5/6/25 17:44,R_3R7YN1SjUolld3K,,,,,37.9622,-122.3455,anonymous,EN,No,No,Moderately engaged,Highly engaged,Moderately engaged,Highly engaged,,The slide presentation,The slide presentation,Slightly nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:44,IP Address,138.9.171.181,100,78,TRUE,5/6/25 17:44,R_5oNZERevplpLA3f,,,,,38.0324,-121.2621,anonymous,EN,"Yes, many times",No,Moderately engaged,Highly engaged,Highly engaged,Highly engaged,,The poster presentation,The slide presentation,Moderately nervous,Poster presentation,Slide presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:44,IP Address,104.28.123.166,100,69,TRUE,5/6/25 17:44,R_7r0udLfP9u7vy5m,,,,,38.6157,-121.5053,anonymous,EN,"Yes, many times","Yes, a few times",Highly engaged,Highly engaged,Moderately engaged,Highly engaged,,Both took an equal amount of time to prepare for,The poster presentation,Not nervous at all,The same for both,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:45,IP Address,138.9.172.9,100,80,TRUE,5/6/25 17:45,R_71zl0SbfbDpcCml,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times",No,Moderately engaged,Moderately engaged,Slightly engaged,Slightly engaged,,The poster presentation,The poster presentation,Slightly nervous,Poster presentation,Slide presentations,I learned an equal amount from both,My poster presentation,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:45,IP Address,169.197.142.79,100,84,TRUE,5/6/25 17:45,R_7cAFVd78d6tgvF2,,,,,37.353,-121.9544,anonymous,EN,"Yes, many times",No,Slightly engaged,Highly engaged,Not engaged at all,Slightly engaged,,The slide presentation,The poster presentation,Slightly nervous,Poster presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:45,IP Address,138.9.182.99,100,81,TRUE,5/6/25 17:45,R_341MxQIE2b2kgJ2,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times",No,Highly engaged,Moderately engaged,Moderately engaged,Moderately engaged,,The poster presentation,The poster presentation,Not nervous at all,Slide presentation,Poster presentations,Slide presentations,My poster presentation,,Poster presentations,
5/6/25 17:44,5/6/25 17:45,IP Address,138.9.82.88,100,53,TRUE,5/6/25 17:45,R_3WDsTyOoU1TnlM5,,,,,38.0324,-121.2621,anonymous,EN,"Yes, many times","Yes, a few times",Moderately engaged,Highly engaged,Slightly engaged,Moderately engaged,,The poster presentation,The poster presentation,Slightly nervous,Slide presentation,I learned an equal amount from both,I learned an equal amount from both,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:45,IP Address,138.9.180.184,100,84,TRUE,5/6/25 17:45,R_7hElUWx0NW20a6J,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times",No,Moderately engaged,Moderately engaged,Slightly engaged,Moderately engaged,,The slide presentation,The poster presentation,Moderately nervous,The same for both,I learned an equal amount from both,I learned an equal amount from both,I feel equally proud of both,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:45,IP Address,138.9.148.252,100,102,TRUE,5/6/25 17:45,R_172IB6vcaIUlNEp,,,,,37.9822,-121.3126,anonymous,EN,"Yes, a few times",No,Moderately engaged,Moderately engaged,Slightly engaged,Moderately engaged,,Both took an equal amount of time to prepare for,The slide presentation,Very nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:45,IP Address,138.9.130.184,100,89,TRUE,5/6/25 17:45,R_1dM43HWOj5zshuX,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times","Yes, a few times",Moderately engaged,Highly engaged,Moderately engaged,Highly engaged,,Both took an equal amount of time to prepare for,The poster presentation,Moderately nervous,Slide presentation,Poster presentations,Slide presentations,My slide presentation,,One of each (like this semester),
5/6/25 17:44,5/6/25 17:45,IP Address,138.9.166.146,100,94,TRUE,5/6/25 17:45,R_5DhFjDnQuc5943f,,,,,37.9822,-121.3126,anonymous,EN,"Yes, a few times",No,Highly engaged,Moderately engaged,Not engaged at all,Slightly engaged,,The slide presentation,Both challenged me the same amount,Very nervous,Poster presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:44,5/6/25 17:45,IP Address,138.9.182.31,100,96,TRUE,5/6/25 17:45,R_1QEREBE4HIjWXYv,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times","Yes, a few times",Moderately engaged,Highly engaged,Moderately engaged,Highly engaged,Shorter sessions ,The poster presentation,The poster presentation,Slightly nervous,Poster presentation,I learned an equal amount from both,Poster presentations,I feel equally proud of both,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:45,IP Address,172.226.212.118,100,154,TRUE,5/6/25 17:45,R_7hL4WLft9TBv28J,,,,,38.0253,-121.3009,anonymous,EN,"Yes, a few times","Yes, a few times",Moderately engaged,Highly engaged,Highly engaged,Highly engaged,,The slide presentation,The poster presentation,Slightly nervous,Slide presentation,Slide presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:44,5/6/25 17:46,IP Address,138.9.156.16,100,94,TRUE,5/6/25 17:46,R_125v0RTUXpRNZyf,,,,,38.0253,-121.3009,anonymous,EN,"Yes, many times",No,Highly engaged,Highly engaged,Slightly engaged,Moderately engaged,,The slide presentation,The slide presentation,Slightly nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:43,5/6/25 17:46,IP Address,138.9.183.118,100,138,TRUE,5/6/25 17:46,R_5dDYztqQQE3ubbt,,,,,37.9822,-121.3126,anonymous,EN,"Yes, a few times",No,Highly engaged,Highly engaged,Highly engaged,Highly engaged,,The poster presentation,The poster presentation,Very nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:44,5/6/25 17:46,IP Address,138.9.146.19,100,120,TRUE,5/6/25 17:46,R_3Mnir5qH4h4H9Wm,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times","Yes, a few times",Highly engaged,Highly engaged,Slightly engaged,Moderately engaged,,The poster presentation,The slide presentation,Slightly nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,Poster presentations,
5/6/25 17:45,5/6/25 17:46,IP Address,138.9.95.92,100,91,TRUE,5/6/25 17:46,R_3Gwvcz9Z9Ia5dyk,,,,,37.9786,-121.3147,anonymous,EN,"Yes, a few times","Yes, a few times",Highly engaged,Highly engaged,Slightly engaged,Slightly engaged,fun topics,The poster presentation,The poster presentation,Not nervous at all,The same for both,Poster presentations,Poster presentations,My poster presentation,I liked seeing my work on paper,Poster presentations,
5/6/25 17:43,5/6/25 17:46,IP Address,104.28.123.170,100,219,TRUE,5/6/25 17:46,R_7qeD5qny9XVey7P,,,,,38.0253,-121.3009,anonymous,EN,"Yes, many times","Yes, a few times",Moderately engaged,Highly engaged,Moderately engaged,Highly engaged,Choosing a topic I identify with helped motivate me to engage. ,The slide presentation,The slide presentation,Not nervous at all,Slide presentation,Slide presentations,Slide presentations,My poster presentation,I feel like having both platforms were the most beneficial because I needed to analyze my project in multiple ways. ,One of each (like this semester),I honestly wouldn’t change a thing. 
5/6/25 17:45,5/6/25 17:47,IP Address,172.56.170.254,100,110,TRUE,5/6/25 17:47,R_5CRsTSoAuappJIJ,,,,,38.4799,-121.4451,anonymous,EN,"Yes, many times","Yes, many times",Highly engaged,Highly engaged,Highly engaged,Highly engaged,,Both took an equal amount of time to prepare for,Both challenged me the same amount,Slightly nervous,The same for both,I learned an equal amount from both,I learned an equal amount from both,I feel equally proud of both,,Poster presentations,
5/6/25 17:44,5/6/25 17:47,IP Address,138.9.151.37,100,191,TRUE,5/6/25 17:47,R_6Sf4ZScKAPbU3HB,,,,,38.0324,-121.2621,anonymous,EN,"Yes, many times",No,Moderately engaged,Moderately engaged,Moderately engaged,Moderately engaged,One thing that felt less engaging and harder to present was the amount of surrounded noise. It was difficult to talk to the audience when others were speaking,The poster presentation,The poster presentation,Slightly nervous,Poster presentation,Poster presentations,Slide presentations,I feel equally proud of both,I enjoyed the poster presentation because I've never done one before and taught me to talk to my audience one on one more,One of each (like this semester),Space for poster presentation to talk to audience
5/6/25 17:43,5/6/25 17:47,IP Address,138.9.176.144,100,222,TRUE,5/6/25 17:47,R_7rPJJRismoaZSK8,,,,,38.0253,-121.3009,anonymous,EN,"Yes, many times","Yes, a few times",Slightly engaged,Highly engaged,Moderately engaged,Highly engaged,"Viewing a poster presentation will generally be more engaging, however if it is too hard to hear the poster presenter, it becomes too difficult to stay engaged, as I can’t hear the information being told to me compared to a powerpoint presentation.",The slide presentation,The slide presentation,Moderately nervous,Slide presentation,Poster presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:44,5/6/25 17:47,IP Address,172.56.170.236,100,173,TRUE,5/6/25 17:47,R_1z8bWhsPjpPe8Hs,,,,,38.4799,-121.4451,anonymous,EN,"Yes, many times","Yes, a few times",Moderately engaged,Moderately engaged,Moderately engaged,Highly engaged,"The short presentation times made me feel more engaged, but repeated short presentations made me feel less engaged.",Both took an equal amount of time to prepare for,The poster presentation,Moderately nervous,Slide presentation,Slide presentations,I learned an equal amount from both,I feel equally proud of both,,One of each (like this semester),I think having more 4 poster boards per table would make it feel less crowded.
5/6/25 17:43,5/6/25 17:47,IP Address,138.9.131.248,100,265,TRUE,5/6/25 17:47,R_7Cx1eQMFjsJrbUX,,,,,37.9822,-121.3126,anonymous,EN,"Yes, many times",No,Highly engaged,Moderately engaged,Slightly engaged,Moderately engaged,"I really loved the conversation and casual aspect of the poster presentations. I felt more engaged since we were kind of forced to talk to others, but it was an overall positive experience! It was nice talking to the people in the class even though I haven’t talked to anyone else, and it seemed like everyone put in the work when it came to this project.",The poster presentation,The poster presentation,Slightly nervous,The same for both,Poster presentations,Poster presentations,My slide presentation,"I was definitely less prepared for the poster presentation, but I felt at ease since it was more conversational and casual. It was a great time to experience the poster presentation and work on both my presentation and conversational skills.",One of each (like this semester),I think it was nice to have experienced both; having a slide presentation is normal but having it before the poster presentation helped prepare me for the poster and felt less anxious about it.
5/6/25 17:43,5/6/25 17:47,IP Address,174.236.225.215,100,240,TRUE,5/6/25 17:47,R_7dLjMaXNKveenfp,,,,,36.7402,-119.7734,anonymous,EN,"Yes, a few times",No,Moderately engaged,Moderately engaged,Highly engaged,Highly engaged,The poster presentation got pretty loud at times making it harder to engage ,The poster presentation,The poster presentation,Slightly nervous,Poster presentation,Slide presentations,Poster presentations,My poster presentation,,One of each (like this semester),
5/6/25 17:43,5/6/25 17:47,IP Address,138.9.145.0,100,253,TRUE,5/6/25 17:47,R_55Mb1iVH46c4qXO,,,,,37.9822,-121.3126,anonymous,EN,No,No,Highly engaged,Highly engaged,Highly engaged,Highly engaged,I feel that my graphs needed work. Some questions were unclarified due to lack of graph clarification. ,The slide presentation,The poster presentation,Slightly nervous,Poster presentation,Poster presentations,Poster presentations,My poster presentation,I love the poster presentation. I would love to do it again.,Poster presentations,No improvements. I loved this class.
