StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q4,Q11,Q12,Q20,Q13,Q15,Q16,Q17,Q18,Q19
5/6/25 17:42,5/6/25 17:44,0,138.9.133.99,100,81,1,5/6/25 17:44,R_72EZCNrAOFZdiet,,,,,37.9786,-121.3147,anonymous,EN,2,1,3,4,1,4,Being able to directly talk to them made me more engaged ,1,1,2,2,1,1,2,,3,
5/6/25 17:41,5/6/25 17:44,0,138.9.189.88,100,170,1,5/6/25 17:44,R_7fUz4Kfawxw5JbK,,,,,37.9786,-121.3147,anonymous,EN,1,3,3,4,3,4,,1,1,4,3,3,1,3,,3,
5/6/25 17:43,5/6/25 17:44,0,104.28.124.98,100,70,1,5/6/25 17:44,R_3R7YN1SjUolld3K,,,,,37.9622,-122.3455,anonymous,EN,3,3,3,4,3,4,,2,2,2,2,1,1,2,,1,
5/6/25 17:43,5/6/25 17:44,0,138.9.171.181,100,78,1,5/6/25 17:44,R_5oNZERevplpLA3f,,,,,38.0324,-121.2621,anonymous,EN,1,3,3,4,4,4,,1,2,3,1,2,1,2,,3,
5/6/25 17:43,5/6/25 17:44,0,104.28.123.166,100,69,1,5/6/25 17:44,R_7r0udLfP9u7vy5m,,,,,38.6157,-121.5053,anonymous,EN,1,2,4,4,3,4,,3,1,1,3,1,1,2,,1,
5/6/25 17:43,5/6/25 17:45,0,138.9.172.9,100,80,1,5/6/25 17:45,R_71zl0SbfbDpcCml,,,,,37.9822,-121.3126,anonymous,EN,1,3,3,3,2,2,,1,1,2,1,2,3,2,,3,
5/6/25 17:43,5/6/25 17:45,0,169.197.142.79,100,84,1,5/6/25 17:45,R_7cAFVd78d6tgvF2,,,,,37.353,-121.9544,anonymous,EN,1,3,2,4,1,2,,2,1,2,1,1,1,2,,1,
5/6/25 17:43,5/6/25 17:45,0,138.9.182.99,100,81,1,5/6/25 17:45,R_341MxQIE2b2kgJ2,,,,,37.9822,-121.3126,anonymous,EN,1,3,4,3,3,3,,1,1,1,2,1,2,2,,1,
5/6/25 17:44,5/6/25 17:45,0,138.9.82.88,100,53,1,5/6/25 17:45,R_3WDsTyOoU1TnlM5,,,,,38.0324,-121.2621,anonymous,EN,1,2,3,4,2,3,,1,1,2,2,3,3,2,,1,
5/6/25 17:43,5/6/25 17:45,0,138.9.180.184,100,84,1,5/6/25 17:45,R_7hElUWx0NW20a6J,,,,,37.9822,-121.3126,anonymous,EN,1,3,3,3,2,3,,2,1,3,3,3,3,3,,3,
5/6/25 17:43,5/6/25 17:45,0,138.9.148.252,100,102,1,5/6/25 17:45,R_172IB6vcaIUlNEp,,,,,37.9822,-121.3126,anonymous,EN,2,3,3,3,2,3,,3,2,4,2,1,1,2,,1,
5/6/25 17:43,5/6/25 17:45,0,138.9.130.184,100,89,1,5/6/25 17:45,R_1dM43HWOj5zshuX,,,,,37.9822,-121.3126,anonymous,EN,1,2,3,4,3,4,,3,1,3,2,1,2,1,,3,
5/6/25 17:44,5/6/25 17:45,0,138.9.166.146,100,94,1,5/6/25 17:45,R_5DhFjDnQuc5943f,,,,,37.9822,-121.3126,anonymous,EN,2,3,4,3,1,2,,2,3,4,1,1,1,2,,1,
5/6/25 17:44,5/6/25 17:45,0,138.9.182.31,100,96,1,5/6/25 17:45,R_1QEREBE4HIjWXYv,,,,,37.9822,-121.3126,anonymous,EN,1,2,3,4,3,4,Shorter sessions ,1,1,2,1,3,1,3,,3,
5/6/25 17:43,5/6/25 17:45,0,172.226.212.118,100,154,1,5/6/25 17:45,R_7hL4WLft9TBv28J,,,,,38.0253,-121.3009,anonymous,EN,2,2,3,4,4,4,,2,1,2,2,2,1,2,,3,
5/6/25 17:44,5/6/25 17:46,0,138.9.156.16,100,94,1,5/6/25 17:46,R_125v0RTUXpRNZyf,,,,,38.0253,-121.3009,anonymous,EN,1,3,4,4,2,3,,2,2,2,2,1,1,2,,1,
5/6/25 17:43,5/6/25 17:46,0,138.9.183.118,100,138,1,5/6/25 17:46,R_5dDYztqQQE3ubbt,,,,,37.9822,-121.3126,anonymous,EN,2,3,4,4,4,4,,1,1,4,2,1,1,2,,3,
5/6/25 17:44,5/6/25 17:46,0,138.9.146.19,100,120,1,5/6/25 17:46,R_3Mnir5qH4h4H9Wm,,,,,37.9822,-121.3126,anonymous,EN,1,2,4,4,2,3,,1,2,2,2,1,1,2,,1,
5/6/25 17:45,5/6/25 17:46,0,138.9.95.92,100,91,1,5/6/25 17:46,R_3Gwvcz9Z9Ia5dyk,,,,,37.9786,-121.3147,anonymous,EN,2,2,4,4,2,2,fun topics,1,1,1,3,1,1,2,I liked seeing my work on paper,1,
5/6/25 17:43,5/6/25 17:46,0,104.28.123.170,100,219,1,5/6/25 17:46,R_7qeD5qny9XVey7P,,,,,38.0253,-121.3009,anonymous,EN,1,2,3,4,3,4,Choosing a topic I identify with helped motivate me to engage. ,2,2,1,2,2,2,2,I feel like having both platforms were the most beneficial because I needed to analyze my project in multiple ways. ,3,I honestly wouldn’t change a thing. 
5/6/25 17:45,5/6/25 17:47,0,172.56.170.254,100,110,1,5/6/25 17:47,R_5CRsTSoAuappJIJ,,,,,38.4799,-121.4451,anonymous,EN,1,1,4,4,4,4,,3,3,2,3,3,3,3,,1,
5/6/25 17:44,5/6/25 17:47,0,138.9.151.37,100,191,1,5/6/25 17:47,R_6Sf4ZScKAPbU3HB,,,,,38.0324,-121.2621,anonymous,EN,1,3,3,3,3,3,One thing that felt less engaging and harder to present was the amount of surrounded noise. It was difficult to talk to the audience when others were speaking,1,1,2,1,1,2,3,I enjoyed the poster presentation because I've never done one before and taught me to talk to my audience one on one more,3,Space for poster presentation to talk to audience
5/6/25 17:43,5/6/25 17:47,0,138.9.176.144,100,222,1,5/6/25 17:47,R_7rPJJRismoaZSK8,,,,,38.0253,-121.3009,anonymous,EN,1,2,2,4,3,4,"Viewing a poster presentation will generally be more engaging, however if it is too hard to hear the poster presenter, it becomes too difficult to stay engaged, as I can’t hear the information being told to me compared to a powerpoint presentation.",2,2,3,2,1,1,2,,3,
5/6/25 17:44,5/6/25 17:47,0,172.56.170.236,100,173,1,5/6/25 17:47,R_1z8bWhsPjpPe8Hs,,,,,38.4799,-121.4451,anonymous,EN,1,2,3,3,3,4,"The short presentation times made me feel more engaged, but repeated short presentations made me feel less engaged.",3,1,3,2,2,3,3,,3,I think having more 4 poster boards per table would make it feel less crowded.
5/6/25 17:43,5/6/25 17:47,0,138.9.131.248,100,265,1,5/6/25 17:47,R_7Cx1eQMFjsJrbUX,,,,,37.9822,-121.3126,anonymous,EN,1,3,4,3,2,3,"I really loved the conversation and casual aspect of the poster presentations. I felt more engaged since we were kind of forced to talk to others, but it was an overall positive experience! It was nice talking to the people in the class even though I haven’t talked to anyone else, and it seemed like everyone put in the work when it came to this project.",1,1,2,3,1,1,1,"I was definitely less prepared for the poster presentation, but I felt at ease since it was more conversational and casual. It was a great time to experience the poster presentation and work on both my presentation and conversational skills.",3,I think it was nice to have experienced both; having a slide presentation is normal but having it before the poster presentation helped prepare me for the poster and felt less anxious about it.
5/6/25 17:43,5/6/25 17:47,0,174.236.225.215,100,240,1,5/6/25 17:47,R_7dLjMaXNKveenfp,,,,,36.7402,-119.7734,anonymous,EN,2,3,3,3,4,4,The poster presentation got pretty loud at times making it harder to engage ,1,1,2,1,2,1,2,,3,
